MT4 Group,Spread,Agent Comm
BMFgroup_PAM,20,
BMFgroup_PAM-A,20,
BMFgroup01,18,16
BMFgroup01_PAM,20,17
BMFgroup01-A,18,16
BMFgroup02,18,16
BMFgroup02_PAM,20,17
BMFgroup02-A,18,16
BMFgroup03,18,16
BMFgroup03_PAM,20,17
BMFgroup03-A,18,16
BMFgroup04,18,16
BMFgroup04_PAM,20,17
BMFgroup04-A,18,16
BMFgroup05_PAM,20,4
BMFgroup06_PAM,20,17
BMFgroup_EA-A,7,7
FBP_ABHwangbo-A,11,9
FBP_BWLEE01-A,17,16
FBP_Han01-A,0,0
FBP_JSPARK01-A,23,19
FBPgroup_EA,7,7
FBPgroup1,14,12
FBPgroup1-A,5,
FBPgroup2,16,7
FBPgroup2-A,16,7
FBPgroup3,13,0
FBPgroup3-A,13,9
FBPgroup4,7,7
FBPgroup4-A,7,7
FBPgroup5,17,11
FBPgroup5-A,17,11
FBPgroup6,9,4
FBPgroup6-A,9,4
FBPgroup7,23,19
FBPgroup7-A,5,0
FBPgroup8,16,10
FBPgroup8-A,16,10
FBPgroup99,-6,$1/deal
FBPgroup99-A,-6,$1/deal
TorusFX_01,14,12
TorusFX_01-A,14,12
TorusFX_02,14,7
TorusFX_02-A,14,7
TorusFX_03,18,12
TorusFX_03-A,18,12
TorusFX_04,14,12
TorusFX_04-A,14,12
TorusFX_B01,14,0
TorusFX_B02,23,2
FTCgroup01-A,3,2
FTCgroup02-A,6,5
FTCgroup03-A,17,7
FTCgroup04-A,17,2
,,
,,
FTCgroup01-A,17,9
